alias,canonical_name
mexico,Mexico
south africa,South Africa
south korea,South Korea
korea republic,South Korea
korea dpr,North Korea
czech republic,Czech Republic
czechia,Czech Republic
switzerland,Switzerland
canada,Canada
bosnia and herzegovina,Bosnia and Herzegovina
bosnia,Bosnia and Herzegovina
qatar,Qatar
brazil,Brazil
morocco,Morocco
scotland,Scotland
haiti,Haiti
united states,United States
usa,United States
united states of america,United States
australia,Australia
paraguay,Paraguay
turkey,Turkey
türkiye,Turkey
turkiye,Turkey
germany,Germany
ivory coast,Ivory Coast
côte d'ivoire,Ivory Coast
cote d'ivoire,Ivory Coast
ecuador,Ecuador
curacao,Curacao
curaçao,Curacao
netherlands,Netherlands
holland,Netherlands
japan,Japan
sweden,Sweden
tunisia,Tunisia
belgium,Belgium
egypt,Egypt
iran,Iran
ir iran,Iran
new zealand,New Zealand
spain,Spain
cape verde,Cape Verde
cabo verde,Cape Verde
uruguay,Uruguay
saudi arabia,Saudi Arabia
france,France
senegal,Senegal
iraq,Iraq
norway,Norway
argentina,Argentina
austria,Austria
algeria,Algeria
jordan,Jordan
colombia,Colombia
portugal,Portugal
dr congo,DR Congo
congo dr,DR Congo
democratic republic of congo,DR Congo
uzbekistan,Uzbekistan
england,England
croatia,Croatia
ghana,Ghana
panama,Panama
italy,Italy
denmark,Denmark
poland,Poland
serbia,Serbia
chile,Chile
peru,Peru
costa rica,Costa Rica
honduras,Honduras
el salvador,El Salvador
jamaica,Jamaica
trinidad and tobago,Trinidad and Tobago
china pr,China PR
china,China PR
india,India
indonesia,Indonesia
thailand,Thailand
vietnam,Vietnam
cameroon,Cameroon
nigeria,Nigeria
mali,Mali
guinea,Guinea
burkina faso,Burkina Faso
kenya,Kenya
tanzania,Tanzania
ethiopia,Ethiopia
zimbabwe,Zimbabwe
zambia,Zambia
democratic republic of the congo,DR Congo
congo,Congo
republic of ireland,Republic of Ireland
northern ireland,Northern Ireland
wales,Wales
iceland,Iceland
finland,Finland
romania,Romania
hungary,Hungary
bulgaria,Bulgaria
greece,Greece
ukraine,Ukraine
russia,Russia
